Date	SLLT	STTB	TSLD	TSLX	TSLN
25/01/1991	150	180	15.92666027	15.92842901	15.92495208
25/01/1991	180	210	22.19662362	22.20582725	22.1874312
26/01/1991	0	0	11.94672714	6.091722305	19.11446352
26/01/1991	0	5	11.79948779	14.8526057	8.801361561
26/01/1991	5	15	11.91910835	12.26702061	11.62000103
26/01/1991	15	30	12.61545467	12.67022832	12.57943249
26/01/1991	30	45	13.04732893	13.08423303	13.01130332
26/01/1991	45	60	13.13009493	13.13577594	13.12365845
26/01/1991	60	90	13.15546541	13.17560012	13.13436817
26/01/1991	90	120	13.69381646	13.7130864	13.67427358
26/01/1991	120	150	14.70246935	14.71047349	14.69451445
26/01/1991	150	180	15.92330282	15.92488213	15.9217839
26/01/1991	180	210	22.1778723	22.18704055	22.16871537
27/01/1991	0	0	11.47615571	3.949104581	21.62582162
27/01/1991	0	5	11.75801479	15.99927856	7.627633942
27/01/1991	5	15	11.98301543	12.36215242	11.56106524
27/01/1991	15	30	12.54444066	12.58096379	12.51603247
27/01/1991	30	45	12.97882079	13.00991398	12.948621
27/01/1991	45	60	13.11592859	13.12335982	13.10813207
27/01/1991	60	90	13.19444436	13.21163484	13.17640715
27/01/1991	90	120	13.73256308	13.75093006	13.71389428
27/01/1991	120	150	14.71890131	14.72701199	14.71081612
27/01/1991	150	180	15.92033102	15.921722	15.91899973
27/01/1991	180	210	22.15919371	22.16832623	22.15007262
28/01/1991	0	0	16.549159	6.430719345	22.27059532
28/01/1991	0	5	14.41466431	17.68706541	10.38492526
28/01/1991	5	15	12.5410648	13.4086024	12.13243349
28/01/1991	15	30	12.54199504	12.60498142	12.52631037
28/01/1991	30	45	12.92514115	12.94753349	12.90684032
28/01/1991	45	60	13.10014198	13.10780553	13.09260287
28/01/1991	60	90	13.22763995	13.24226465	13.21231959
28/01/1991	90	120	13.76943065	13.78684243	13.75169904
28/01/1991	120	150	14.73550151	14.74364871	14.72735811
28/01/1991	150	180	15.91774037	15.91894577	15.91659345
28/01/1991	180	210	22.14058857	22.14968502	22.13150366
29/01/1991	0	0	19.01765745	15.23493712	22.36816602
29/01/1991	0	5	17.42324473	19.04845794	15.82156061
29/01/1991	5	15	14.08367495	14.89016273	13.43744431
29/01/1991	15	30	12.77130722	12.96825793	12.61066877
29/01/1991	30	45	12.90568025	12.91528742	12.90245968
29/01/1991	45	60	13.08621648	13.09230427	13.08133215
29/01/1991	60	90	13.25571944	13.26811011	13.2428371
29/01/1991	90	120	13.80436516	13.820827	13.78757217
29/01/1991	120	150	14.75213296	14.76025566	14.74399544
29/01/1991	150	180	15.91552322	15.91654728	15.91455601
29/01/1991	180	210	22.12205755	22.1311176	22.11300914
30/01/1991	0	0	21.10275757	15.75838788	28.67085049
30/01/1991	0	5	19.4094421	22.63942213	16.4142991
30/01/1991	5	15	15.47782568	16.39675658	14.91391014
30/01/1991	15	30	13.21744451	13.48948488	12.97830832
30/01/1991	30	45	12.94950835	12.99371854	12.91621014
30/01/1991	45	60	13.0802479	13.08165318	13.07962116
30/01/1991	60	90	13.27961038	13.29041458	13.26859137
30/01/1991	90	120	13.83741281	13.85297743	13.82151866
30/01/1991	120	150	14.76867879	14.77672721	14.76060056
30/01/1991	150	180	15.91366923	15.91451741	15.91287595
30/01/1991	180	210	22.10360131	22.11262464	22.09458971
31/01/1991	0	0	16.87642911	13.6939741	20.63665835
31/01/1991	0	5	17.3962252	19.4046154	16.03558981
31/01/1991	5	15	16.26652191	16.44714183	16.15164438
31/01/1991	15	30	13.76487292	13.98530675	13.50283615
31/01/1991	30	45	13.06361778	13.13765405	12.99615271
31/01/1991	45	60	13.08928469	13.0999552	13.08182891
31/01/1991	60	90	13.30130728	13.31181283	13.29085966
31/01/1991	90	120	13.86851422	13.88311326	13.85362473
31/01/1991	120	150	14.78504884	14.79298378	14.7770687
31/01/1991	150	180	15.91216599	15.91284465	15.91154005
31/01/1991	180	210	22.08522045	22.09420678	22.07624596
1/02/1991	0	0	13.70279964	9.604575809	20.67226749
1/02/1991	0	5	14.80707062	17.04308046	12.67306642
1/02/1991	5	15	15.57161813	16.18026046	15.23192892
1/02/1991	15	30	14.10626565	14.17700896	13.99334991
1/02/1991	30	45	13.21912618	13.2940263	13.14101278
1/02/1991	45	60	13.11763109	13.13739296	13.10054805
1/02/1991	60	90	13.3229716	13.33398122	13.31225759
1/02/1991	90	120	13.89768355	13.91141331	13.8837188
1/02/1991	120	150	14.80117021	14.80896303	14.79332033
1/02/1991	150	180	15.91099962	15.91151577	15.91053382
1/02/1991	180	210	22.06691557	22.07586461	22.05797845
2/02/1991	0	0	16.46402141	10.21298159	22.1537851
2/02/1991	0	5	15.48777887	18.37728663	12.69371621
2/02/1991	5	15	14.93341081	15.28104894	14.64629109
2/02/1991	15	30	14.17964672	14.19694326	14.1700051
2/02/1991	30	45	13.36057835	13.41805002	13.29703134
2/02/1991	45	60	13.1623904	13.18778188	13.13833966
2/02/1991	60	90	13.346036	13.35802299	13.33445618
2/02/1991	90	120	13.92503288	13.93792254	13.91197702
2/02/1991	120	150	14.81701321	14.82466325	14.8092946
2/02/1991	150	180	15.91015535	15.91051626	15.90984252
2/02/1991	180	210	22.04868719	22.05759869	22.03978768
3/02/1991	0	0	17.78158731	11.63613481	26.84477318
3/02/1991	0	5	17.1481842	21.14654675	13.50947609
3/02/1991	5	15	15.38029647	15.98183868	14.96161922
3/02/1991	15	30	14.24536441	14.32737364	14.19938476
3/02/1991	30	45	13.47161757	13.52173636	13.42033167
3/02/1991	45	60	13.21623922	13.24420618	13.18891063
3/02/1991	60	90	13.37119315	13.38425774	13.35854241
3/02/1991	90	120	13.95079357	13.9630281	13.93845297
3/02/1991	120	150	14.83255311	14.84004318	14.82498859
3/02/1991	150	180	15.90961845	15.90983136	15.90945124
3/02/1991	180	210	22.0305358	22.03940953	22.02167413
4/02/1991	0	0	17.59651359	10.33127178	28.51152165
4/02/1991	0	5	17.26367687	22.21986613	12.84352015
4/02/1991	5	15	15.85147207	16.39622131	15.3472854
4/02/1991	15	30	14.41788868	14.52695021	14.33286528
4/02/1991	30	45	13.57666619	13.62992172	13.52394988
4/02/1991	45	60	13.27474403	13.304694	13.24542367
4/02/1991	60	90	13.39854146	13.4126606	13.3848232
4/02/1991	90	120	13.97537379	13.98715323	13.96353496
4/02/1991	120	150	14.84775335	14.85507099	14.84036123
4/02/1991	150	180	15.90937378	15.90944617	15.90934295
4/02/1991	180	210	22.01246183	22.02129759	22.0036382
5/02/1991	0	0	17.27390648	10.49686548	26.95538838
5/02/1991	0	5	16.98197989	21.65657099	12.82215858
5/02/1991	5	15	16.03673574	16.47991638	15.5496901
5/02/1991	15	30	14.61384145	14.70931576	14.53308807
5/02/1991	30	45	13.68917292	13.74558568	13.63233243
